model,dx,dy,k,h,noise_dist,noise_std,seed_rep,loss_phi,mse
preANM,2,2,2,cubic,uniform,2.0,4,frac,4.794163227081299
preANM,2,2,2,cubic,uniform,2.0,5,power_0.5,0.055190764367580414
preANM,2,2,2,cubic,uniform,2.0,5,power_1,2.170637369155884
preANM,2,2,2,cubic,uniform,2.0,5,exp,0.03077438287436962
preANM,2,2,2,cubic,uniform,2.0,5,log1p,0.07586593925952911
preANM,2,2,2,cubic,uniform,2.0,5,frac,0.014741195365786552
preANM,2,2,2,cubic,uniform,2.0,6,power_0.5,49.859886169433594
preANM,2,2,2,cubic,uniform,2.0,6,power_1,303300.03125
preANM,2,2,2,cubic,uniform,2.0,6,exp,19.355222702026367
preANM,2,2,2,cubic,uniform,2.0,6,log1p,33.600685119628906
preANM,2,2,2,cubic,uniform,2.0,6,frac,13.253064155578613
preANM,2,2,2,cubic,uniform,2.0,7,power_0.5,0.01087216380983591
preANM,2,2,2,cubic,uniform,2.0,7,power_1,0.20442639291286469
preANM,2,2,2,cubic,uniform,2.0,7,exp,0.024600328877568245
preANM,2,2,2,cubic,uniform,2.0,7,log1p,0.020014779642224312
preANM,2,2,2,cubic,uniform,2.0,7,frac,0.027142664417624474
preANM,2,2,2,cubic,uniform,2.0,8,power_0.5,0.06914112716913223
preANM,2,2,2,cubic,uniform,2.0,8,power_1,0.3060924708843231
preANM,2,2,2,cubic,uniform,2.0,8,exp,0.07662666589021683
preANM,2,2,2,cubic,uniform,2.0,8,log1p,0.07685776054859161
preANM,2,2,2,cubic,uniform,2.0,8,frac,0.05959354341030121
preANM,2,2,2,cubic,uniform,2.0,9,power_0.5,2.1693613529205322
preANM,2,2,2,cubic,uniform,2.0,9,power_1,49.82065963745117
preANM,2,2,2,cubic,uniform,2.0,9,exp,1.3625438213348389
preANM,2,2,2,cubic,uniform,2.0,9,log1p,2.617011070251465
preANM,2,2,2,cubic,uniform,2.0,9,frac,0.3944493234157562
preANM,2,2,2,cubic,uniform,3.0,0,power_0.5,4.43011999130249
preANM,2,2,2,cubic,uniform,3.0,0,power_1,18085.97265625
preANM,2,2,2,cubic,uniform,3.0,0,exp,4.067138195037842
preANM,2,2,2,cubic,uniform,3.0,0,log1p,4.974387168884277
preANM,2,2,2,cubic,uniform,3.0,0,frac,1.9246253967285156
preANM,2,2,2,cubic,uniform,3.0,1,power_0.5,0.06128944084048271
preANM,2,2,2,cubic,uniform,3.0,1,power_1,2.9484543800354004
preANM,2,2,2,cubic,uniform,3.0,1,exp,0.059173718094825745
preANM,2,2,2,cubic,uniform,3.0,1,log1p,0.15572988986968994
preANM,2,2,2,cubic,uniform,3.0,1,frac,0.025397825986146927
preANM,2,2,2,cubic,uniform,3.0,2,power_0.5,0.3998183012008667
preANM,2,2,2,cubic,uniform,3.0,2,power_1,25.949533462524414
preANM,2,2,2,cubic,uniform,3.0,2,exp,0.26666757464408875
preANM,2,2,2,cubic,uniform,3.0,2,log1p,0.9282059669494629
preANM,2,2,2,cubic,uniform,3.0,2,frac,0.0525456927716732
preANM,2,2,2,cubic,uniform,3.0,3,power_0.5,0.10320983827114105
preANM,2,2,2,cubic,uniform,3.0,3,power_1,1.0603909492492676
preANM,2,2,2,cubic,uniform,3.0,3,exp,0.08691517263650894
preANM,2,2,2,cubic,uniform,3.0,3,log1p,0.10654716938734055
preANM,2,2,2,cubic,uniform,3.0,3,frac,0.10733204334974289
preANM,2,2,2,cubic,uniform,3.0,4,power_0.5,47.684974670410156
preANM,2,2,2,cubic,uniform,3.0,4,power_1,9668.298828125
preANM,2,2,2,cubic,uniform,3.0,4,exp,79.89214324951172
preANM,2,2,2,cubic,uniform,3.0,4,log1p,83.15076446533203
preANM,2,2,2,cubic,uniform,3.0,4,frac,15.372915267944336
preANM,2,2,2,cubic,uniform,3.0,5,power_0.5,0.2604309022426605
preANM,2,2,2,cubic,uniform,3.0,5,power_1,9.207948684692383
preANM,2,2,2,cubic,uniform,3.0,5,exp,0.16469191014766693
preANM,2,2,2,cubic,uniform,3.0,5,log1p,0.29179516434669495
preANM,2,2,2,cubic,uniform,3.0,5,frac,0.042733099311590195
preANM,2,2,2,cubic,uniform,3.0,6,power_0.5,212.3082275390625
preANM,2,2,2,cubic,uniform,3.0,6,power_1,14562.2109375
preANM,2,2,2,cubic,uniform,3.0,6,exp,213.06637573242188
preANM,2,2,2,cubic,uniform,3.0,6,log1p,226.68417358398438
preANM,2,2,2,cubic,uniform,3.0,6,frac,65.67646026611328
preANM,2,2,2,cubic,uniform,3.0,7,power_0.5,0.034714359790086746
preANM,2,2,2,cubic,uniform,3.0,7,power_1,0.860058605670929
preANM,2,2,2,cubic,uniform,3.0,7,exp,0.031064273789525032
preANM,2,2,2,cubic,uniform,3.0,7,log1p,0.05981474742293358
preANM,2,2,2,cubic,uniform,3.0,7,frac,0.03870070353150368
preANM,2,2,2,cubic,uniform,3.0,8,power_0.5,0.5478567481040955
preANM,2,2,2,cubic,uniform,3.0,8,power_1,6.698715686798096
preANM,2,2,2,cubic,uniform,3.0,8,exp,0.5732110142707825
preANM,2,2,2,cubic,uniform,3.0,8,log1p,0.5223900675773621
preANM,2,2,2,cubic,uniform,3.0,8,frac,0.62431401014328
preANM,2,2,2,cubic,uniform,3.0,9,power_0.5,6.496885776519775
preANM,2,2,2,cubic,uniform,3.0,9,power_1,231.50132751464844
preANM,2,2,2,cubic,uniform,3.0,9,exp,5.2657060623168945
preANM,2,2,2,cubic,uniform,3.0,9,log1p,11.835986137390137
preANM,2,2,2,cubic,uniform,3.0,9,frac,1.5915405750274658
preANM,2,2,2,square,uniform,1.0,0,power_0.5,0.023715432733297348
preANM,2,2,2,square,uniform,1.0,0,power_1,0.9967264533042908
preANM,2,2,2,square,uniform,1.0,0,exp,0.03248952701687813
preANM,2,2,2,square,uniform,1.0,0,log1p,0.03189469128847122
preANM,2,2,2,square,uniform,1.0,0,frac,0.02262503281235695
preANM,2,2,2,square,uniform,1.0,1,power_0.5,0.0002647393848747015
preANM,2,2,2,square,uniform,1.0,1,power_1,0.0009905783226713538
preANM,2,2,2,square,uniform,1.0,1,exp,0.0008788831764832139
preANM,2,2,2,square,uniform,1.0,1,log1p,0.00052268011495471
preANM,2,2,2,square,uniform,1.0,1,frac,0.0006668654386885464
preANM,2,2,2,square,uniform,1.0,2,power_0.5,0.0015870366478338838
